"","alpha","beta","theta","p","delta1","delta2","delta3","delta4","tau1","tau2"
"248",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"249",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"250",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"251",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"252",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"253",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"254",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"255",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"256",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"257",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"258",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"259",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"260",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"261",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"262",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"263",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"264",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"265",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"266",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"267",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"268",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"269",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"270",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"271",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"272",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"273",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"274",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"275",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"276",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"277",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"278",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"279",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"280",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
